,Time,Inverter 1 to Block E-Area West & Block E-Area East: PV energy (AC) minus standby use,Inverter 2 to Block C Flats-Area West: PV energy (AC) minus standby use,Inverter 3 to Block C Flats-Area East: PV energy (AC) minus standby use,Inverter 4 to Block C Flats-Area South: PV energy (AC) minus standby use,Inverter 5 to Block C Flats-Area South: PV energy (AC) minus standby use,Inverter 6 to Block B-Area South: PV energy (AC) minus standby use,Inverter 7 to Block B-Area South: PV energy (AC) minus standby use,Inverter 8 to Block B-Area South: PV energy (AC) minus standby use,Inverter 9 to Block A-Area Northwest & Block A-Area Southeast: PV energy (AC) minus standby use,Inverter 10 to Block A-Area Northwest & Block A-Area Southeast: PV energy (AC) minus standby use,Inverter 11 to Block A-Area Northwest & Block A-Area Southeast: PV energy (AC) minus standby use,Inverter 12 to Block E-Area West & Block E-Area East: PV energy (AC) minus standby use,Inverter 13 to Block F-Area Southwest & Block F-Area Northeast: PV energy (AC) minus standby use,Inverter 14 to Block G-Area Southwest & Block G-Area Northeast: PV energy (AC) minus standby use,Inverter 15 to Block G-Area Southwest & Block G-Area Northeast: PV energy (AC) minus standby use,Inverter 16 to Block H-Area Southwest & Block H-Area Northeast: PV energy (AC) minus standby use,Inverter 17 to Block H-Area Southwest & Block H-Area Northeast: PV energy (AC) minus standby use,Inverter 18 to Block D-Area West & Block D-Area East: PV energy (AC) minus standby use,Inverter 19 to Block F-Area Southwest & Block F-Area Northeast: PV energy (AC) minus standby use
0,1900-01-31,92.30700954699982,68.32344196800018,33.36901044179986,106.8124332599994,106.99633876999943,153.62617501999867,107.66365988999954,105.21752389999948,97.68669214399986,118.54232041899938,97.70193054399984,91.89376754699984,123.14877059899932,123.14733359899931,123.14733359899931,148.41888141899898,123.14733359899931,148.9436218539988,184.3071087960987
1,1900-02-28,146.69740831999957,114.39916453699962,75.02719658,109.67096697966969,110.02368629699961,165.8357005399995,115.89634897999963,114.83178809999964,146.76608907999955,176.42673508599944,146.77974537999958,145.38157671999957,153.94047207999932,154.0813727799994,153.83600147999934,185.12833865599947,153.92650207999935,219.89239511999884,232.08235887999885
2,1900-03-31,362.63119738000114,290.4913615079996,209.46608611299902,225.43886892999936,226.04550904999894,353.28813188700155,249.29603498999964,248.30387435999924,356.5395166800013,426.1458551100014,357.3296632800013,361.52708908000096,352.973377420001,353.46357042000096,352.251322420001,421.6246952300009,352.44701242000116,525.1386821900031,529.6018487400034
3,1900-04-30,611.0888807600023,444.1863659880013,412.77884699200115,330.5429642600002,331.3726207400005,523.2009093900033,370.35830518800145,369.5864107980016,601.1843481500027,716.2299929830007,601.3656669800029,610.1039107600026,582.7753171500019,582.7087571500019,581.604397150002,693.682225593002,581.6423595400018,870.0805531300044,868.8550093200035
4,1900-05-31,772.668532108002,541.4001650448004,541.2888431746,355.8353843676002,357.8051181222006,581.6432804600032,412.2011536970016,411.2586652840013,760.0467183570026,905.6894715080012,758.0145320870024,772.7508679350021,741.1852267230023,739.8883377230019,740.6758267230026,882.8771589380011,740.1064046030025,1098.7606271528052,1102.9267065150045
5,1900-06-30,751.3552460680012,516.4783926599995,529.124021051,333.2004854319994,335.95522597499996,553.2379049920016,390.50363014400034,389.7450147810005,739.1445288330007,880.2503693799998,738.5987181330007,751.3548760680012,731.2187448794406,728.9755510794406,730.8701748794409,869.8245596699996,728.6561475794409,1073.7404085700027,1085.724772010003
6,1900-07-31,711.9273488430025,508.25370958600064,483.9394925040004,309.54357107277997,312.15832497999963,515.9181131580033,365.60050215000103,364.88577730000094,703.0451401930018,838.4276634540018,702.3866849160015,712.3204458430026,685.0830732920019,683.4246305720015,684.879843292002,816.7495454040014,684.7605903280016,1017.8545561000049,1022.0662257070048
7,1900-08-31,540.5101828800024,386.6518068955007,367.7271901366004,267.3623643538998,268.38361319700005,431.2203619100018,304.6876490680007,304.1194509790008,533.4328616900024,636.5160337360016,533.3335434600023,539.9883269800026,520.8068308400019,520.3734308400021,520.1485908400017,621.2693633460018,520.0625946300019,775.8677609700051,777.5606209900042
8,1900-09-30,420.9912136378034,316.6528625300004,269.0991227449989,240.24168309999897,240.9467079739988,378.7724668640025,267.3775335169999,266.0189873059993,414.801188849473,495.3452714700025,415.3202488494728,420.13426663780325,405.7024520366915,405.86492203669167,404.7767010366914,484.11461267000203,404.99278103669155,609.1430861394053,609.8821048346057
9,1900-10-31,237.9979211363992,185.0735910010987,129.35017888199914,164.74661181999917,165.20387552899913,250.05235864999838,175.27227733499936,173.80316584109931,235.36875974639906,282.1491313799998,235.43020264639912,237.05680801639912,239.5086925463991,239.79847854639908,239.12148954639912,287.22876045000044,239.4137885463991,352.5553534180032,362.968779031003
10,1900-11-30,115.44440111899931,85.81694619899966,49.485260158000344,106.49235630099955,106.73974358499953,156.16481436799842,107.54324459899956,104.1578248389995,114.94980474899938,139.04805099999885,114.93021004899938,114.94222619399939,134.6116699663292,134.4080839663292,134.3850576663292,162.0097549299986,134.5281759663292,178.34719617919848,202.20685153199832
11,1900-12-31,67.11296342400044,43.67653323903014,25.38459662617984,78.83487548999993,79.00096035699994,113.36205462999831,78.98005237699994,77.20332687499996,71.88816263600013,88.0592738799997,71.8483209360001,67.00120581500049,92.17754941999951,92.17754941999951,92.17754941999951,111.85640442999889,92.17754941999951,109.18670922999875,139.36898553999842
